key,value,date
Northern Harrier,2,11/08/14
Northern Harrier,0,11/15/14
Northern Harrier,0,11/27/14
Northern Harrier,0,12/06/14
Northern Harrier,0,12/13/14
Northern Harrier,0,12/27/14
Northern Harrier,1,12/27/14
Northern Harrier,0,01/03/15
Northern Harrier,0,01/17/15
Northern Harrier,0,01/24/15
Northern Harrier,0,01/31/15
Northern Harrier,0,02/07/15
Northern Harrier,0,02/21/15
Northern Harrier,0,02/28/15
Northern Harrier,0,03/07/15
Northern Harrier,0,03/14/15
Northern Harrier,0,03/21/15
Northern Harrier,0,03/28/15
Sharp-shinned Hawk,0,11/08/14
Sharp-shinned Hawk,2,11/15/14
Sharp-shinned Hawk,0,11/27/14
Sharp-shinned Hawk,1,12/06/14
Sharp-shinned Hawk,0,12/13/14
Sharp-shinned Hawk,0,12/27/14
Sharp-shinned Hawk,1,12/27/14
Sharp-shinned Hawk,0,01/03/15
Sharp-shinned Hawk,0,01/17/15
Sharp-shinned Hawk,0,01/24/15
Sharp-shinned Hawk,0,01/31/15
Sharp-shinned Hawk,0,02/07/15
Sharp-shinned Hawk,0,02/21/15
Sharp-shinned Hawk,0,02/28/15
Sharp-shinned Hawk,0,03/07/15
Sharp-shinned Hawk,0,03/14/15
Sharp-shinned Hawk,0,03/21/15
Sharp-shinned Hawk,0,03/28/15
Cooper's Hawk,0,11/08/14
Cooper's Hawk,0,11/15/14
Cooper's Hawk,1,11/27/14
Cooper's Hawk,1,12/06/14
Cooper's Hawk,1,12/13/14
Cooper's Hawk,0,12/27/14
Cooper's Hawk,0,12/27/14
Cooper's Hawk,0,01/03/15
Cooper's Hawk,1,01/17/15
Cooper's Hawk,0,01/24/15
Cooper's Hawk,1,01/31/15
Cooper's Hawk,0,02/07/15
Cooper's Hawk,0,02/21/15
Cooper's Hawk,1,02/28/15
Cooper's Hawk,1,03/07/15
Cooper's Hawk,0,03/14/15
Cooper's Hawk,0,03/21/15
Cooper's Hawk,0,03/28/15
Mourning Dove,2,11/08/14
Mourning Dove,2,11/15/14
Mourning Dove,25,11/27/14
Mourning Dove,3,12/06/14
Mourning Dove,50,12/13/14
Mourning Dove,13,12/27/14
Mourning Dove,0,12/27/14
Mourning Dove,9,01/03/15
Mourning Dove,32,01/17/15
Mourning Dove,12,01/24/15
Mourning Dove,28,01/31/15
Mourning Dove,26,02/07/15
Mourning Dove,12,02/21/15
Mourning Dove,18,02/28/15
Mourning Dove,14,03/07/15
Mourning Dove,11,03/14/15
Mourning Dove,3,03/21/15
Mourning Dove,2,03/28/15
Red-bellied Woodpecker,3,11/08/14
Red-bellied Woodpecker,1,11/15/14
Red-bellied Woodpecker,1,11/27/14
Red-bellied Woodpecker,1,12/06/14
Red-bellied Woodpecker,1,12/13/14
Red-bellied Woodpecker,1,12/27/14
Red-bellied Woodpecker,1,12/27/14
Red-bellied Woodpecker,1,01/03/15
Red-bellied Woodpecker,2,01/17/15
Red-bellied Woodpecker,1,01/24/15
Red-bellied Woodpecker,1,01/31/15
Red-bellied Woodpecker,1,02/07/15
Red-bellied Woodpecker,2,02/21/15
Red-bellied Woodpecker,1,02/28/15
Red-bellied Woodpecker,2,03/07/15
Red-bellied Woodpecker,1,03/14/15
Red-bellied Woodpecker,1,03/21/15
Red-bellied Woodpecker,2,03/28/15
Downy Woodpecker,3,11/08/14
Downy Woodpecker,2,11/15/14
Downy Woodpecker,2,11/27/14
Downy Woodpecker,2,12/06/14
Downy Woodpecker,3,12/13/14
Downy Woodpecker,1,12/27/14
Downy Woodpecker,3,12/27/14
Downy Woodpecker,3,01/03/15
Downy Woodpecker,2,01/17/15
Downy Woodpecker,2,01/24/15
Downy Woodpecker,2,01/31/15
Downy Woodpecker,2,02/07/15
Downy Woodpecker,2,02/21/15
Downy Woodpecker,2,02/28/15
Downy Woodpecker,1,03/07/15
Downy Woodpecker,2,03/14/15
Downy Woodpecker,2,03/21/15
Downy Woodpecker,2,03/28/15
Hairy Woodpecker,1,11/08/14
Hairy Woodpecker,1,11/15/14
Hairy Woodpecker,1,11/27/14
Hairy Woodpecker,1,12/06/14
Hairy Woodpecker,1,12/13/14
Hairy Woodpecker,1,12/27/14
Hairy Woodpecker,1,12/27/14
Hairy Woodpecker,1,01/03/15
Hairy Woodpecker,1,01/17/15
Hairy Woodpecker,1,01/24/15
Hairy Woodpecker,0,01/31/15
Hairy Woodpecker,1,02/07/15
Hairy Woodpecker,1,02/21/15
Hairy Woodpecker,0,02/28/15
Hairy Woodpecker,1,03/07/15
